wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,hub_total_A,floodgate_A
1780272250586,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.000,0.012,0.105,0.472,0.577,0.679
1780272250695,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.439,0.472,0.911,1.236
1780272250725,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.013,0.415,0.463,0.878,1.212
1780272250765,0.000,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.010,0.333,0.472,0.805,1.091
1780272250796,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.211,0.472,0.683,0.848
1780272250839,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.000,0.009,0.219,0.463,0.682,0.776
1780272250870,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.439,0.472,0.911,1.285
1780272250913,0.000,0.000,0.000,0.003,0.000,0.003,0.007,0.000,0.013,0.398,0.488,0.886,1.261
1780272250943,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.325,0.480,0.805,1.018
1780272250983,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.162,0.472,0.634,0.824
1780272251012,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.146,0.463,0.609,0.703
1780272251064,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.012,0.130,0.455,0.585,0.679
1780272251122,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.122,0.455,0.577,0.679
1780272251216,0.244,0.240,0.156,0.287,0.000,0.000,0.003,0.000,0.930,0.122,0.545,0.667,0.727
1780272251256,3.743,3.604,3.273,3.688,0.000,0.000,0.003,0.000,14.311,0.105,17.427,17.532,3.321
1780272251303,5.638,5.088,6.364,6.582,0.000,0.000,0.003,0.000,23.675,0.138,21.351,21.489,22.376
1780272251346,3.892,3.980,3.838,4.559,0.000,0.000,0.003,0.003,16.275,0.146,12.307,12.453,18.279
1780272251396,0.652,0.710,0.801,1.027,0.000,0.000,0.003,0.000,3.193,0.130,3.825,3.955,6.085
1780272251426,0.138,0.142,0.167,0.204,0.000,0.000,0.003,0.000,0.654,0.122,1.823,1.945,0.848
1780272251461,0.032,0.032,0.040,0.029,0.000,0.000,0.003,0.000,0.136,0.122,0.879,1.001,0.679
