wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,servoHub_A,hub_total_A
1780257331845,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.000,0.472,0.105,0.577
1780257331971,0.000,0.000,0.003,0.003,0.000,0.000,0.000,0.000,0.006,0.000,0.480,0.350,0.830
1780257332029,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.000,0.480,0.146,0.626
1780257332085,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.003,0.012,0.000,0.480,0.463,0.943
1780257332139,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.003,0.009,0.000,0.504,0.366,0.870
1780257332197,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.003,0.012,0.000,0.480,0.179,0.659
1780257332249,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.000,0.472,0.130,0.602
1780257332320,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.000,0.488,0.130,0.618
1780257332389,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.012,0.000,0.480,0.130,0.610
1780257332524,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.000,0.472,0.130,0.602
1780257332588,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.006,0.000,0.480,0.122,0.602
1780257332651,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.000,0.504,0.122,0.626
1780257332700,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.000,0.512,0.122,0.634
1780257332744,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.000,0.488,0.122,0.610
1780257332803,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.000,0.480,0.122,0.602
1780257332870,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.000,0.472,0.130,0.602
1780257332940,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.000,0.488,0.130,0.618
1780257333057,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.000,0.496,0.122,0.618
1780257333116,3.634,3.251,4.381,4.756,0.003,0.000,0.003,0.000,16.028,0.000,19.877,0.130,20.007
1780257333178,2.292,3.630,4.519,4.162,0.000,0.000,0.003,0.000,14.606,0.000,6.471,0.146,6.617
1780257333231,0.721,0.820,1.100,1.162,0.000,0.000,0.003,0.000,3.806,0.000,1.978,0.130,2.108
1780257333284,0.047,0.058,0.047,0.043,0.000,0.003,0.000,0.000,0.198,0.000,0.797,0.122,0.919
1780257333342,0.007,0.007,0.010,0.010,0.000,0.000,0.003,0.000,0.037,0.000,0.545,0.122,0.667
1780257333420,0.007,0.003,0.000,0.003,0.003,0.000,0.003,0.003,0.022,0.000,0.504,0.130,0.634
1780257333480,0.003,0.003,0.000,0.007,0.000,0.000,0.003,0.000,0.016,0.000,0.488,0.122,0.610
1780257333578,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.000,0.488,0.122,0.610
