wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,floodgate_A
1780275937679,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.582
1780275937790,0.003,0.000,0.000,0.003,0.000,0.000,0.010,0.000,0.016,3.273
1780275937821,0.000,0.000,0.000,0.003,0.000,0.000,0.018,0.000,0.021,2.715
1780275937858,0.000,0.000,0.000,0.000,0.000,0.003,0.010,0.000,0.013,1.261
1780275937889,0.007,0.003,0.000,0.003,0.000,0.003,0.003,0.000,0.019,0.897
1780275937931,0.000,0.003,0.007,0.003,0.000,0.000,0.000,0.003,0.016,0.752
1780275937962,0.007,0.000,0.003,0.003,0.000,0.000,0.000,0.003,0.016,1.503
1780275938007,0.003,0.000,0.000,0.003,0.003,0.003,0.003,0.000,0.015,1.430
1780275938037,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.006,1.042
1780275938081,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.848
1780275938106,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.630
1780275938146,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.752
1780275938215,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275938319,0.000,0.000,0.007,0.007,0.000,0.000,0.003,0.003,0.020,0.630
1780275938373,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275938404,0.000,0.003,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.630
1780275938440,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.009,0.630
1780275938466,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.010,0.630
1780275938505,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.006,0.630
1780275938528,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.012,0.630
1780275938562,0.000,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.010,0.630
1780275938586,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275938621,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.630
1780275938655,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.606
1780275938723,0.003,0.000,0.003,0.003,0.000,0.003,0.000,0.003,0.015,0.679
1780275938794,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.606
1780275938858,0.000,0.000,0.000,0.007,0.000,0.003,0.003,0.000,0.013,0.606
1780275938892,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275938935,0.007,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.013,0.606
1780275938962,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.630
