wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,hub_total_A,floodgate_A
1780270979122,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.009,0.000,0.504,0.504,0.630
1780270979224,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.000,0.496,0.496,0.679
1780270979287,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.000,0.472,0.472,0.679
1780270979342,0.000,0.000,0.003,0.003,0.000,0.000,0.000,0.003,0.009,0.000,0.496,0.496,0.630
1780270979407,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.009,0.000,0.504,0.504,0.630
1780270979463,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.000,0.496,0.496,0.679
1780270979519,0.007,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.013,0.000,0.488,0.488,0.679
1780270979603,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.000,0.496,0.496,0.606
1780270979655,0.000,0.000,0.000,0.003,0.000,0.000,0.010,0.003,0.016,0.000,0.496,0.496,1.115
1780270979756,0.000,0.003,0.003,0.003,0.000,0.003,0.003,0.000,0.015,0.000,0.496,0.496,0.824
1780270979799,0.003,0.000,0.003,0.003,0.003,0.000,0.000,0.003,0.015,0.000,0.496,0.496,0.776
1780270979879,0.000,0.000,0.000,0.000,0.007,0.018,6.987,8.299,15.311,0.000,0.561,0.561,8.752
1780270979953,0.000,0.000,0.000,0.000,0.003,0.018,8.128,8.820,16.969,0.000,0.594,0.594,17.988
1780270980015,0.000,0.000,0.000,0.003,0.003,0.014,7.523,8.686,16.229,0.000,0.610,0.610,18.715
1780270980080,0.000,0.000,0.000,0.003,0.003,0.018,7.632,8.547,16.203,0.000,0.634,0.634,17.212
1780270980158,0.000,0.000,0.000,0.000,0.007,0.014,7.311,8.288,15.620,0.000,0.634,0.634,16.509
1780270980246,0.000,0.000,0.000,0.000,0.003,0.014,7.045,8.026,15.088,0.000,0.602,0.602,15.588
1780270980327,0.003,0.000,0.000,0.003,0.003,0.014,6.808,7.942,14.773,0.000,0.586,0.586,14.473
1780270980419,4.366,4.209,4.516,4.643,0.003,0.010,5.208,5.879,28.834,0.000,12.478,12.478,23.855
1780270980492,3.393,3.677,4.060,4.286,0.000,0.007,5.041,5.671,26.135,0.000,14.025,14.025,23.588
1780270980557,2.835,2.843,3.291,3.448,0.003,0.010,5.150,5.777,23.357,0.000,11.900,11.900,21.164
1780270980621,2.139,2.216,2.715,3.120,0.003,0.010,5.175,5.864,21.242,0.000,9.833,9.833,19.612
1780270980699,1.811,1.658,2.387,2.409,0.003,0.007,5.208,5.923,19.406,0.000,8.172,8.172,18.158
1780270980783,1.458,1.454,2.008,2.216,0.003,0.010,5.157,5.784,18.090,0.000,7.285,7.285,16.945
1780270980894,0.586,0.397,0.980,1.410,0.003,0.010,5.205,6.065,14.656,0.000,3.052,3.052,13.721
1780270980981,0.065,0.054,0.087,0.109,0.000,0.000,1.046,1.447,2.808,0.000,0.732,0.732,9.794
1780270981050,0.003,0.000,0.007,0.000,0.007,0.021,9.261,9.954,19.253,0.000,0.659,0.659,17.333
1780270981121,0.003,0.000,0.003,0.003,0.003,0.014,6.163,7.115,13.304,0.000,0.651,0.651,17.236
1780270981178,0.000,0.000,0.000,0.003,0.003,0.010,5.554,6.378,11.948,0.000,0.618,0.618,13.673
1780270981490,0.000,0.000,0.000,0.003,0.003,0.010,5.463,6.283,11.762,0.000,0.569,0.569,12.824
1780270981611,0.000,0.000,0.000,0.003,0.010,0.025,10.614,11.321,21.973,0.000,0.675,0.675,17.455
1780270981645,0.000,0.000,0.000,0.003,0.007,0.025,11.153,12.276,23.464,0.000,0.675,0.675,22.545
1780270981682,0.000,0.000,0.000,0.003,0.007,0.025,10.858,12.072,22.965,0.000,0.667,0.667,22.182
1780270981748,0.000,0.000,0.003,0.000,0.003,0.003,3.965,4.472,8.446,0.000,0.577,0.577,13.042
1780270981787,0.003,0.000,0.003,0.000,0.007,0.010,5.190,5.646,10.859,0.000,0.553,0.553,8.679
1780270981832,0.003,0.000,0.003,0.003,0.003,0.010,5.591,6.353,11.966,0.000,0.586,0.586,11.976
1780270981884,0.003,0.000,0.003,0.000,0.003,0.010,5.533,6.287,11.839,0.000,0.602,0.602,11.758
1780270981919,0.003,0.000,0.000,0.003,0.000,0.007,4.115,4.811,8.939,0.000,0.577,0.577,10.861
1780270981958,0.000,0.000,0.000,0.003,0.000,0.000,1.778,2.143,3.924,0.000,0.553,0.553,5.358
1780270982002,0.003,0.003,0.000,0.007,0.000,0.000,0.590,0.561,1.164,0.000,0.512,0.512,1.212
1780270982070,0.003,0.000,0.003,0.003,0.000,0.000,0.269,0.324,0.602,0.000,0.504,0.504,0.897
1780270982161,0.000,0.000,0.003,0.003,0.000,0.000,0.032,0.061,0.099,0.000,0.594,0.594,0.824
1780270982193,0.003,0.000,0.000,0.003,0.000,0.000,0.010,0.014,0.030,0.000,0.586,0.586,0.752
1780270982236,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.007,0.020,0.000,0.561,0.561,0.752
1780270982264,0.003,0.000,0.000,0.000,0.000,0.000,0.007,0.007,0.017,0.000,0.537,0.537,0.727
1780270982308,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.000,0.520,0.520,0.727
1780270982336,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.003,0.012,0.000,0.520,0.520,0.703
1780270982374,0.003,0.003,0.003,0.003,0.000,0.000,0.007,0.000,0.019,0.000,0.529,0.529,0.703
1780270982407,0.003,0.000,0.003,0.003,0.003,0.000,0.000,0.003,0.015,0.000,0.537,0.537,0.703
1780270982450,0.003,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.015,0.000,0.520,0.520,0.679
1780270982485,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.000,0.512,0.512,0.679
1780270982519,0.003,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.015,0.000,0.512,0.512,0.703
1780270982582,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.006,0.000,0.520,0.520,0.727
1780270982663,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.003,0.015,0.000,0.504,0.504,0.679
1780270982703,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.009,0.000,0.504,0.504,0.703
1780270982748,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.000,0.512,0.512,0.703
1780270982778,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.000,0.512,0.512,0.703
1780270982817,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.000,0.504,0.504,0.679
1780270982857,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.000,0.496,0.496,0.679
1780270982899,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.000,0.520,0.520,0.679
1780270982929,0.007,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.019,0.000,0.504,0.504,0.703
1780270982971,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.000,0.504,0.504,0.703
1780270983005,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.000,0.504,0.504,0.679
1780270983047,2.132,1.917,1.990,1.862,0.000,0.000,0.003,0.000,7.904,0.000,4.656,4.656,0.485
1780270983088,3.798,3.827,3.900,3.860,0.000,0.000,0.003,0.003,15.391,0.000,7.814,7.814,8.412
1780270983183,3.681,4.239,4.712,4.774,0.000,0.000,0.003,0.003,17.412,0.000,16.792,16.792,15.612
1780270983213,3.316,3.597,4.392,4.290,0.000,0.000,0.003,0.003,15.601,0.000,15.352,15.352,13.721
1780270983262,2.398,2.653,3.218,3.167,0.000,0.000,0.003,0.003,11.442,0.000,10.695,10.695,11.321
1780270983316,0.503,0.590,0.732,0.801,0.000,0.003,0.000,0.000,2.629,0.000,3.695,3.695,6.473
1780270983355,0.102,0.102,0.120,0.109,0.000,0.003,0.003,0.000,0.439,0.000,1.481,1.481,0.970
1780270983406,1.512,0.029,2.041,0.014,0.000,0.000,0.003,0.000,3.599,0.000,1.147,1.147,0.582
1780270983444,5.015,2.033,4.363,1.592,0.000,0.000,0.003,0.000,13.006,0.000,8.840,8.840,1.503
