wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,hub_total_A,floodgate_A
1780271970819,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.512,0.105,0.617,0.703
1780271970915,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.006,0.496,0.472,0.968,0.873
1780271970945,0.000,0.000,0.000,0.003,0.000,0.000,0.021,0.000,0.024,0.512,0.463,0.975,1.139
1780271970992,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.009,0.529,0.374,0.903,1.018
1780271971023,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.504,0.252,0.756,0.945
1780271971065,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.007,0.016,0.496,0.301,0.797,0.727
1780271971096,0.003,0.000,0.000,0.003,0.000,0.000,0.021,0.000,0.027,0.496,0.480,0.976,1.115
1780271971137,0.000,0.000,0.000,0.003,0.000,0.003,0.007,0.000,0.013,0.504,0.447,0.951,1.115
1780271971172,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.007,0.504,0.366,0.870,0.970
1780271971214,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.003,0.009,0.488,0.170,0.658,0.848
1780271971249,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.520,0.146,0.666,0.679
1780271971289,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.520,0.130,0.650,0.727
1780271971344,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.529,0.130,0.659,0.752
1780271971419,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.013,0.537,0.130,0.667,0.727
1780271971456,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.007,0.010,0.520,0.130,0.650,0.727
1780271971503,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.006,0.520,0.130,0.650,0.727
1780271971532,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.496,0.122,0.618,0.727
1780271971569,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.496,0.122,0.618,0.703
1780271971598,0.000,0.000,0.003,0.003,0.000,0.000,0.000,0.000,0.006,0.488,0.130,0.618,0.703
1780271971639,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.504,0.122,0.626,0.679
1780271971667,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.512,0.122,0.634,0.727
1780271971707,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.504,0.130,0.634,0.727
1780271971737,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.520,0.113,0.633,0.703
1780271971775,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.512,0.113,0.625,0.703
1780271971809,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.003,0.009,0.504,0.113,0.617,0.703
1780271971869,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.488,0.122,0.610,0.703
1780271971956,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.480,0.122,0.602,0.703
1780271971990,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.520,0.122,0.642,0.703
1780271972023,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.003,0.015,0.520,0.122,0.642,0.752
1780271972056,0.003,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.015,0.488,0.122,0.610,0.703
1780271972097,0.003,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.012,0.520,0.122,0.642,0.703
1780271972125,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.545,0.122,0.667,0.727
1780271972155,0.000,0.000,0.000,0.003,0.003,0.003,0.003,0.000,0.012,0.520,0.130,0.650,0.727
1780271972181,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.529,0.122,0.651,0.727
1780271972216,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.520,0.122,0.642,0.727
1780271972248,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.545,0.122,0.667,0.752
1780271972280,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.512,0.122,0.634,0.703
1780271972311,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.496,0.122,0.618,0.703
1780271972378,0.167,0.138,0.043,0.091,0.003,0.000,0.003,0.000,0.445,0.553,0.130,0.683,0.727
1780271972472,0.856,0.845,0.725,0.739,0.000,0.003,0.003,0.000,3.171,1.009,0.130,1.139,0.994
1780271972524,1.180,1.122,1.067,1.166,0.000,0.000,0.003,0.000,4.538,1.457,0.122,1.579,1.503
1780271972562,1.253,1.191,1.086,1.264,0.000,0.003,0.003,0.003,4.803,1.497,0.122,1.619,1.576
1780271972602,2.103,0.630,1.928,0.659,0.000,0.000,0.000,0.000,5.320,2.124,0.105,2.229,1.842
1780271972640,3.083,1.603,3.007,1.607,0.000,0.000,0.003,0.003,9.306,4.477,0.105,4.582,2.594
1780271972681,3.885,3.725,3.922,3.936,0.000,0.000,0.003,0.000,15.471,9.035,0.089,9.124,6.982
1780271972715,3.969,4.217,4.395,5.062,0.000,0.000,0.003,0.003,17.649,13.349,0.089,13.438,9.818
1780271972762,3.819,4.158,4.363,5.132,0.000,0.000,0.003,0.000,17.475,15.816,0.130,15.946,13.576
1780271972790,3.564,3.597,4.253,4.676,0.000,0.000,0.003,0.000,16.093,15.254,0.146,15.400,14.303
1780271972833,2.948,2.941,3.721,4.180,0.000,0.000,0.003,0.000,13.793,13.056,0.146,13.202,12.727
1780271972896,2.256,2.394,3.014,3.542,0.000,0.000,0.003,0.000,11.209,10.850,0.138,10.988,10.376
1780271972983,1.647,1.600,2.606,3.003,0.000,0.000,0.003,0.000,8.859,9.027,0.138,9.165,8.097
1780271973014,1.622,1.567,2.500,2.690,0.000,0.000,0.003,0.000,8.382,8.498,0.138,8.636,7.588
1780271973054,1.622,1.432,2.427,2.533,0.000,0.000,0.000,0.003,8.017,8.131,0.138,8.269,7.297
1780271973098,0.780,0.900,1.399,1.279,0.000,0.000,0.000,0.000,4.358,3.931,0.130,4.061,6.861
1780271973146,0.105,0.116,0.233,0.182,0.000,0.000,0.003,0.000,0.639,1.269,0.122,1.391,1.261
1780271973176,0.025,0.021,0.032,0.040,0.003,0.000,0.003,0.003,0.127,0.789,0.122,0.911,0.630
1780271973211,0.007,0.007,0.010,0.010,0.000,0.003,0.003,0.000,0.040,0.618,0.122,0.740,0.679
1780271973242,0.003,0.003,0.003,0.003,0.000,0.000,0.003,0.000,0.015,0.553,0.122,0.675,0.727
1780271973287,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.545,0.122,0.667,0.848
1780271973314,0.000,0.003,0.003,0.007,0.000,0.000,0.003,0.000,0.016,0.529,0.122,0.651,0.824
1780271973354,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.010,0.529,0.130,0.659,0.776
1780271973421,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.537,0.130,0.667,0.752
1780271973502,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.537,0.113,0.650,0.727
1780271973540,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.545,0.122,0.667,0.727
1780271973573,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.537,0.113,0.650,0.703
1780271973600,0.000,0.000,0.003,0.003,0.000,0.000,0.000,0.000,0.006,0.537,0.113,0.650,0.727
1780271973645,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.529,0.113,0.642,0.727
1780271973680,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.537,0.113,0.650,0.727
1780271973710,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.006,0.537,0.122,0.659,0.727
1780271973737,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.006,0.520,0.113,0.633,0.703
1780271973778,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.537,0.122,0.659,0.727
1780271973815,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.529,0.130,0.659,0.727
1780271973849,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.529,0.122,0.651,0.727
1780271973881,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.529,0.122,0.651,0.727
1780271973934,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.520,0.130,0.650,0.727
1780271974026,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.537,0.130,0.667,0.727
1780271974054,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.529,0.122,0.651,0.776
1780271974092,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.520,0.122,0.642,0.824
1780271974118,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.529,0.122,0.651,0.945
1780271974164,0.000,0.000,0.003,0.003,0.003,0.000,0.003,0.000,0.012,0.529,0.130,0.659,0.970
1780271974191,0.003,0.000,0.003,0.003,0.000,0.000,0.000,0.000,0.009,0.520,0.130,0.650,0.970
1780271974224,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.520,0.130,0.650,0.994
1780271974258,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.537,0.122,0.659,0.970
1780271974302,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.512,0.113,0.625,0.970
1780271974336,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.520,0.113,0.633,0.897
1780271974375,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.520,0.113,0.633,0.897
1780271974406,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.512,0.113,0.625,0.873
1780271974473,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.010,0.512,0.113,0.625,0.752
1780271974555,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.529,0.113,0.642,0.727
1780271974587,0.000,0.003,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.520,0.113,0.633,0.703
1780271974621,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.512,0.113,0.625,0.703
1780271974657,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.529,0.113,0.642,0.703
1780271974693,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.520,0.113,0.633,0.703
1780271974728,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.003,0.012,0.504,0.113,0.617,0.703
1780271974770,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.520,0.113,0.633,0.703
1780271974805,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.537,0.113,0.650,0.727
1780271974842,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.529,0.113,0.642,0.727
1780271974882,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.520,0.113,0.633,0.703
1780271974918,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.529,0.113,0.642,0.703
1780271974972,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.545,0.113,0.658,0.727
1780271975005,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.537,0.113,0.650,0.703
1780271975074,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.006,0.537,0.113,0.650,0.703
1780271975102,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.529,0.122,0.651,0.727
1780271975138,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.529,0.113,0.642,0.727
1780271975173,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.529,0.113,0.642,0.703
1780271975210,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.537,0.113,0.650,0.703
1780271975239,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.520,0.122,0.642,0.703
1780271975286,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.537,0.113,0.650,0.703
1780271975315,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.537,0.113,0.650,0.727
1780271975360,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.520,0.122,0.642,0.727
1780271975392,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.520,0.122,0.642,0.727
1780271975435,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.529,0.113,0.642,0.703
1780271975494,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.512,0.113,0.625,0.703
1780271975532,0.003,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.015,0.520,0.113,0.633,0.703
1780271975632,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.529,0.113,0.642,0.703
1780271975666,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.512,0.113,0.625,0.727
1780271975719,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.529,0.113,0.642,0.703
1780271975752,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.537,0.113,0.650,0.727
1780271975785,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.007,0.561,0.113,0.674,0.727
1780271975810,0.000,0.000,0.003,0.003,0.003,0.000,0.003,0.003,0.015,0.553,0.113,0.666,0.727
1780271975840,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.003,0.012,0.529,0.113,0.642,0.727
1780271975873,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.512,0.113,0.625,0.679
1780271975911,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.520,0.113,0.633,0.679
1780271975944,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.512,0.113,0.625,0.703
1780271976005,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.512,0.113,0.625,0.679
1780271976055,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.003,0.012,0.529,0.113,0.642,0.727
1780271976126,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.512,0.113,0.625,0.703
1780271976155,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.512,0.113,0.625,0.679
