wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,servoHub_A,hub_total_A,floodgate_A
1780270115471,0.313,3.823,0.251,3.721,0.000,0.000,0.003,0.000,8.111,8.774,0.000,0.138,8.912,7.370
1780270115504,0.076,3.218,0.040,3.408,0.000,0.000,0.003,0.003,6.748,7.073,0.000,0.138,7.211,6.182
1780270115613,1.698,1.581,0.207,2.598,0.003,0.000,0.003,0.000,6.090,5.722,0.000,0.138,5.860,4.727
1780270115652,3.583,1.257,1.968,2.686,0.000,0.000,0.003,0.003,9.500,9.515,0.000,0.130,9.645,8.412
1780270115688,4.851,0.929,3.725,2.566,0.000,0.003,0.003,0.003,12.080,11.819,0.000,0.138,11.957,10.764
1780270115722,4.855,1.097,3.338,2.584,0.000,0.000,0.003,0.003,11.880,11.990,0.000,0.138,12.128,10.521
1780270115765,4.275,1.895,2.606,3.028,0.000,0.000,0.003,0.000,11.807,11.827,0.000,0.138,11.965,10.473
1780270115795,3.801,1.855,2.500,2.985,0.000,0.000,0.003,0.000,11.144,11.200,0.000,0.138,11.338,9.988
1780270115832,3.309,1.942,2.365,2.467,0.003,0.003,0.003,0.003,10.095,10.590,0.000,0.138,10.728,9.261
1780270115863,3.203,2.197,2.234,2.726,0.000,0.000,0.003,0.000,10.363,10.614,0.000,0.138,10.752,9.164
1780270115905,2.956,2.146,2.041,2.631,0.000,0.000,0.003,0.000,9.777,9.938,0.000,0.138,10.076,9.115
1780270115934,2.766,2.128,1.953,2.314,0.000,0.003,0.003,0.003,9.170,9.320,0.000,0.130,9.450,8.194
1780270115978,2.478,1.334,2.008,0.827,0.000,0.003,0.003,0.003,6.656,6.682,0.000,0.138,6.820,7.636
1780270116018,2.380,0.112,2.084,0.094,0.000,0.000,0.003,0.000,4.673,5.274,0.000,0.130,5.404,4.582
1780270116121,0.885,0.036,1.662,0.010,0.000,0.000,0.000,0.003,2.596,3.174,0.000,0.122,3.296,2.715
1780270116164,1.002,1.162,1.822,1.775,0.000,0.000,0.003,0.000,5.764,6.951,0.000,0.130,7.081,3.127
1780270116206,0.408,1.392,0.736,0.984,0.000,0.000,0.003,0.000,3.523,3.378,0.000,0.154,3.532,6.715
1780270116244,0.051,0.255,0.083,0.083,0.000,0.000,0.003,0.003,0.478,1.286,0.000,0.130,1.416,0.703
1780270116281,0.007,0.032,0.025,0.018,0.000,0.000,0.003,0.003,0.088,0.789,0.000,0.130,0.919,0.630
1780270116312,0.003,0.007,0.007,0.003,0.003,0.000,0.003,0.003,0.029,0.594,0.000,0.122,0.716,0.606
1780270116351,0.007,0.003,0.007,0.007,0.000,0.000,0.003,0.003,0.030,0.504,0.000,0.122,0.626,0.630
1780270116386,0.000,0.003,0.003,0.000,0.000,0.000,0.000,0.003,0.009,0.463,0.000,0.122,0.585,0.630
1780270116423,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.000,0.012,0.463,0.000,0.122,0.585,0.630
1780270116454,0.003,0.000,0.003,0.003,0.000,0.000,0.000,0.000,0.009,0.455,0.000,0.122,0.577,0.606
1780270116507,0.003,0.000,0.003,0.003,0.000,0.003,0.000,0.000,0.012,0.480,0.000,0.122,0.602,0.630
1780270116554,0.003,0.000,0.007,0.003,0.000,0.000,0.003,0.000,0.016,0.472,0.000,0.130,0.602,0.630
1780270116644,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.000,0.012,0.488,0.000,0.122,0.610,0.630
1780270116678,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.496,0.000,0.122,0.618,0.630
1780270116729,0.000,0.000,0.003,0.007,0.000,0.000,0.000,0.003,0.013,0.480,0.000,0.122,0.602,0.630
1780270116764,0.000,0.000,0.007,0.003,0.000,0.003,0.003,0.003,0.019,0.504,0.000,0.122,0.626,0.679
1780270116800,0.000,0.000,0.007,0.003,0.000,0.000,0.000,0.003,0.013,0.496,0.000,0.122,0.618,0.630
1780270116837,0.000,0.000,0.007,0.003,0.000,0.000,0.003,0.000,0.013,0.472,0.000,0.122,0.594,0.679
1780270116877,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.472,0.000,0.122,0.594,0.679
1780270116909,0.003,0.000,0.003,0.003,0.000,0.003,0.003,0.003,0.018,0.472,0.000,0.122,0.594,0.630
1780270116948,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.130,0.593,0.606
1780270116987,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.480,0.000,0.122,0.602,0.679
1780270117024,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.003,0.009,0.488,0.000,0.122,0.610,0.679
1780270117056,0.000,0.003,0.000,0.007,0.000,0.000,0.003,0.000,0.013,0.472,0.000,0.122,0.594,0.606
1780270117166,0.007,0.000,0.000,0.003,0.003,0.003,0.003,0.003,0.022,0.472,0.000,0.130,0.602,0.606
1780270117199,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.003,0.015,0.472,0.000,0.122,0.594,0.630
1780270117251,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.496,0.000,0.122,0.618,0.679
1780270117287,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.504,0.000,0.122,0.626,0.679
1780270117322,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.488,0.000,0.122,0.610,0.630
1780270117354,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.122,0.602,0.630
1780270117391,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.480,0.000,0.122,0.602,0.679
1780270117453,0.000,0.000,0.000,0.000,0.003,0.018,6.779,7.960,14.760,0.520,0.000,13.300,13.820,7.273
1780270117498,0.000,0.000,0.000,0.003,0.007,0.018,8.193,9.764,17.985,0.594,0.000,16.589,17.183,18.424
1780270117540,0.000,0.000,0.000,0.003,0.003,0.018,8.387,9.433,17.844,0.569,0.000,17.012,17.581,17.745
1780270117583,0.000,0.000,0.000,0.003,0.003,0.018,8.401,9.444,17.869,0.577,0.000,17.004,17.581,17.091
1780270117659,0.000,0.000,0.000,0.003,0.003,0.018,7.909,8.988,16.921,0.577,0.000,16.304,16.881,16.533
1780270117712,0.000,0.000,0.000,0.000,0.003,0.014,7.665,8.791,16.473,0.577,0.000,15.881,16.458,16.364
1780270117774,0.000,0.000,0.000,0.003,0.003,0.014,7.548,8.558,16.126,0.602,0.000,15.352,15.954,15.733
1780270117805,0.000,0.000,0.000,0.003,0.003,0.018,7.282,8.503,15.809,0.586,0.000,15.148,15.734,15.321
1780270117839,0.000,0.000,0.000,0.003,0.003,0.014,7.173,8.339,15.532,0.586,0.000,14.945,15.531,15.224
1780270117870,0.000,0.003,0.000,0.003,0.003,0.014,7.224,8.099,15.346,0.594,0.000,14.749,15.343,14.836
1780270117917,0.000,0.000,0.000,0.003,0.003,0.014,6.925,8.055,15.000,0.569,0.000,14.399,14.968,14.691
1780270117979,0.000,0.000,0.000,0.003,0.003,0.014,6.859,7.756,14.635,0.577,0.000,13.927,14.504,14.133
1780270118016,0.000,0.000,0.000,0.000,0.003,0.014,6.786,7.581,14.384,0.569,0.000,13.699,14.268,13.891
1780270118058,0.003,0.000,0.003,0.003,0.003,0.014,6.626,7.443,14.095,0.561,0.000,13.455,14.016,13.576
1780270118097,0.000,0.000,0.000,0.003,0.003,0.014,6.448,7.337,13.805,0.553,0.000,13.194,13.747,13.285
1780270118168,0.000,0.000,0.000,0.000,0.003,0.014,6.254,7.060,13.331,0.545,0.000,12.771,13.316,12.824
1780270118228,2.241,2.653,1.822,2.544,0.003,0.010,5.554,6.316,21.143,5.038,0.000,11.591,16.629,15.297
1780270118283,4.388,4.290,4.975,4.862,0.003,0.007,4.213,4.975,27.713,16.467,0.000,9.247,25.714,20.703
1780270118329,3.050,3.856,4.461,4.242,0.000,0.010,4.618,5.205,25.442,13.024,0.000,9.572,22.596,23.491
1780270118381,0.769,1.020,1.159,1.257,0.000,0.003,2.354,2.897,9.459,4.672,0.000,5.453,10.125,13.455
1780270118435,0.072,0.051,0.058,0.051,0.000,0.003,0.641,0.820,1.696,1.172,0.000,1.497,2.669,2.545
1780270118496,0.010,0.007,0.007,0.007,0.007,0.025,9.174,9.163,18.400,0.643,0.000,15.921,16.564,4.461
1780270118548,0.000,0.003,0.003,0.003,0.003,0.010,5.992,6.874,12.888,0.594,0.000,11.420,12.014,12.752
1780270118587,0.000,0.000,0.000,0.003,0.003,0.010,5.813,6.535,12.364,0.545,0.000,11.672,12.217,9.552
1780270118625,0.000,0.000,0.000,0.003,0.003,0.014,5.883,6.830,12.733,0.537,0.000,12.136,12.673,12.461
1780270118728,0.003,0.000,0.000,0.003,0.003,0.007,4.180,4.877,9.073,0.529,0.000,7.667,8.196,8.873
1780270118773,0.000,0.000,0.000,0.003,0.000,0.003,1.928,1.636,3.570,0.545,0.000,3.597,4.142,6.715
1780270118815,0.000,0.000,0.000,0.003,0.007,0.025,7.847,8.306,16.188,0.520,0.000,14.928,15.448,0.970
1780
