wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,floodgate_A
1780274924731,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780274924845,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,3.564
1780274924877,0.003,0.000,0.000,0.003,0.000,0.000,0.018,0.000,0.024,2.958
1780274924914,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,2.424
1780274924944,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,1.818
1780274924985,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.006,1.503
1780274925018,0.000,0.000,0.000,0.003,0.000,0.000,0.014,0.000,0.017,1.358
1780274925052,0.003,0.000,0.000,0.003,0.000,0.000,0.021,0.000,0.027,1.285
1780274925078,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.006,1.503
1780274925113,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,1.624
1780274925140,0.007,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.017,0.873
1780274925172,0.003,0.000,0.000,0.003,0.000,0.003,0.007,0.000,0.016,0.776
1780274925224,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,1.091
1780274925280,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.873
1780274925381,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.873
1780274925418,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.703
1780274925458,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.679
1780274925493,1.363,1.286,1.210,1.257,0.000,0.000,0.003,0.003,5.122,0.824
1780274925534,5.372,4.815,5.004,5.048,0.000,0.000,0.003,0.000,20.242,2.206
1780274925568,5.770,5.434,6.072,6.309,0.000,0.000,0.003,0.003,23.591,20.170
1780274925601,4.705,4.297,5.489,5.824,0.000,0.000,0.003,0.003,20.321,18.497
1780274925626,4.209,4.096,5.099,5.361,0.000,0.000,0.003,0.000,18.768,16.582
1780274925666,1.501,1.622,2.165,2.474,0.000,0.000,0.003,0.000,7.765,14.909
1780274925697,0.608,0.568,0.951,1.097,0.000,0.003,0.003,0.000,3.230,1.939
1780274925763,0.058,0.047,0.058,0.076,0.000,0.000,0.003,0.003,0.245,0.824
1780274925800,0.010,0.007,0.014,0.014,0.000,0.003,0.003,0.003,0.054,0.630
1780274925909,0.222,0.233,0.131,0.164,0.000,0.000,0.003,0.000,0.753,0.776
1780274925951,4.169,2.824,3.422,4.020,0.000,0.000,0.000,0.000,14.435,2.642
1780274925989,5.033,5.565,6.367,6.269,0.000,0.000,0.000,0.000,23.234,21.770
1780274926021,4.137,5.234,5.595,5.569,0.000,0.000,0.003,0.000,20.538,18.036
1780274926062,3.462,3.666,4.042,4.432,0.000,0.000,0.000,0.000,15.602,16.267
1780274926106,0.914,1.177,1.232,1.490,0.000,0.000,0.003,0.003,4.819,6.036
1780274926157,0.072,0.087,0.087,0.098,0.000,0.000,0.003,0.000,0.347,0.824
1780274926185,0.014,0.021,0.018,0.029,0.000,0.000,0.003,0.007,0.092,0.630
1780274926222,0.007,0.007,0.003,0.010,0.000,0.000,0.003,0.003,0.033,0.630
1780274926278,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.752
1780274926338,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.752
1780274926426,0.000,0.003,0.000,0.007,0.000,0.000,0.003,0.003,0.016,0.752
1780274926471,2.945,2.380,3.342,2.700,0.000,0.000,0.003,0.000,11.370,3.515
1780274926514,6.655,6.240,5.256,4.778,0.000,0.000,0.003,0.003,22.935,11.467
1780274926549,7.228,7.224,3.717,3.196,0.000,0.000,0.007,0.000,21.372,19.055
1780274926593,6.101,5.321,4.975,4.118,4.009,3.747,0.003,0.007,28.281,19.224
1780274926624,5.431,4.654,4.585,4.410,3.801,3.717,0.003,0.007,26.608,23.588
1780274926658,5.576,2.471,4.304,1.330,2.803,2.992,0.003,0.003,19.482,20.921
1780274926686,5.471,0.601,4.764,0.484,2.402,2.369,0.003,0.003,16.097,14.376
1780274926723,4.592,0.441,4.490,0.215,1.902,2.033,0.003,0.003,13.679,12.630
1780274926793,3.185,5.872,2.795,4.118,1.264,1.428,0.003,0.003,18.668,15.685
1780274926831,3.440,5.416,3.480,2.894,1.530,1.505,0.003,0.003,18.271,16.315
1780274926869,2.781,4.990,3.462,4.020,1.428,1.519,0.003,0.003,18.206,15.685
1780274926966,3.090,3.958,3.214,2.664,1.450,1.971,0.003,0.003,16.353,14.133
1780274926999,2.956,3.539,2.934,3.036,2.037,2.551,0.003,0.003,17.059,15.006
1780274927036,2.813,3.014,2.500,2.839,2.722,2.008,0.003,0.003,15.902,14.909
1780274927096,2.351,2.941,2.438,2.493,1.738,1.931,0.003,0.003,13.898,13.139
1780274927130,1.410,2.755,0.874,2.773,1.760,1.840,0.003,0.003,11.418,10.642
1780274927164,0.207,2.660,0.189,2.646,1.698,1.749,0.003,0.003,9.155,9.018
1780274927192,0.083,2.292,0.047,2.256,1.917,3.018,0.003,0.010,9.626,8.776
1780274927229,0.018,1.709,0.014,1.632,4.056,3.663,0.003,0.007,11.102,11.345
1780274927289,0.007,1.042,0.010,1.891,2.854,2.908,0.003,0.003,8.718,8.727
