wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,servoHub_A,hub_total_A,floodgate_A
1780269880313,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.105,0.472,0.000,0.577,0.000
1780269880441,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.006,0.463,0.480,0.000,0.943,0.000
1780269880498,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.013,0.325,0.504,0.000,0.829,0.000
1780269880563,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.333,0.480,0.000,0.813,0.000
1780269880619,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.488,0.000,0.951,0.000
1780269880683,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.325,0.496,0.000,0.821,0.000
1780269880756,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.219,0.512,0.000,0.731,0.000
1780269880830,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.301,0.496,0.000,0.797,0.000
1780269880950,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.309,0.488,0.000,0.797,0.000
1780269881010,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.170,0.480,0.000,0.650,0.000
1780269881073,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.154,0.472,0.000,0.626,0.000
1780269881138,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.154,0.480,0.000,0.634,0.000
1780269881211,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.154,0.496,0.000,0.650,0.000
1780269881269,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.154,0.504,0.000,0.658,0.000
1780269881358,0.003,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.015,0.154,0.496,0.000,0.650,0.000
1780269881473,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.012,0.154,0.537,0.000,0.691,0.000
1780269881529,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.154,0.545,0.000,0.699,0.000
1780269881576,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.154,0.537,0.000,0.691,0.000
1780269881620,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.010,0.154,0.529,0.000,0.683,0.000
1780269881680,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.154,0.504,0.000,0.658,0.000
1780269881740,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.154,0.529,0.000,0.683,0.000
1780269881798,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.154,0.529,0.000,0.683,0.000
1780269881885,0.003,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.012,0.154,0.488,0.000,0.642,0.000
1780269882003,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.154,0.488,0.000,0.642,0.000
1780269882068,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.154,0.496,0.000,0.650,0.000
