wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,servoHub_A,hub_total_A
1780256625263,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.006,0.105,0.000,0.455,0.560
1780256625387,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.013,0.374,0.000,0.455,0.829
1780256625457,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.154,0.000,0.463,0.617
1780256625518,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.439,0.000,0.472,0.911
1780256625568,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.350,0.000,0.472,0.822
1780256625619,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.162,0.000,0.472,0.634
1780256625679,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.130,0.000,0.504,0.634
1780256625753,0.003,0.003,0.003,0.003,0.003,0.000,0.007,0.000,0.022,0.138,0.000,0.488,0.626
1780256625815,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.138,0.000,0.488,0.626
1780256625958,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.138,0.000,0.488,0.626
1780256626028,3.914,3.954,4.505,3.710,0.000,0.000,0.000,0.003,16.086,0.089,0.000,13.675,13.764
1780256626090,3.470,6.812,6.236,7.319,0.000,0.003,0.003,0.000,23.843,0.130,0.000,22.735,22.865
1780256626153,1.191,3.590,2.770,2.839,0.000,0.000,0.003,0.000,10.393,0.179,0.000,4.493,4.672
1780256626232,0.211,0.277,0.120,0.145,0.000,0.000,0.003,0.000,0.756,0.146,0.000,1.017,1.163
1780256626311,0.003,0.007,0.007,0.010,0.000,0.000,0.003,0.003,0.033,0.138,0.000,0.545,0.683
1780256626370,0.003,0.003,0.003,0.003,0.000,0.000,0.003,0.003,0.018,0.138,0.000,0.512,0.650
1780256626484,0.003,0.000,0.000,0.007,0.000,0.003,0.003,0.000,0.016,0.138,0.000,0.512,0.650
1780256626542,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.138,0.000,0.488,0.626
1780256626599,0.007,0.000,0.000,0.003,0.003,0.003,0.003,0.000,0.019,0.138,0.000,0.480,0.618
1780256626661,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.138,0.000,0.472,0.610
1780256626739,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.138,0.000,0.480,0.618
1780256626829,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.138,0.000,0.472,0.610
1780256626889,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.138,0.000,0.480,0.618
1780256627011,1.341,1.232,1.293,1.406,0.003,0.000,0.003,0.000,5.278,0.138,0.000,1.457,1.595
1780256627073,5.401,4.523,4.691,5.325,0.000,0.000,0.003,0.000,19.943,0.138,0.000,22.515,22.653
1780256627129,7.490,3.087,8.259,4.045,0.000,0.000,0.003,0.000,22.884,0.162,0.000,21.945,22.107
1780256627185,6.692,4.155,7.333,5.686,0.000,0.000,0.000,0.003,23.869,0.162,0.000,21.139,21.301
1780256627252,5.850,3.911,6.170,4.552,0.000,0.000,0.003,0.003,20.489,0.154,0.000,20.748,20.902
1780256627336,4.614,3.885,5.230,4.315,0.000,0.003,0.003,0.003,18.053,0.154,0.000,17.948,18.102
1780256627635,3.969,3.867,4.953,3.542,0.000,0.000,0.003,0.003,16.337,0.162,0.000,11.770,11.932
1780256627774,1.476,3.214,3.324,1.738,0.000,0.003,0.003,0.003,9.761,0.154,0.000,8.986,9.140
1780256627844,0.222,0.317,0.331,0.182,0.000,0.000,0.000,0.000,1.052,0.146,0.000,1.668,1.814
1780256627882,0.032,0.069,0.054,0.025,0.000,0.000,0.003,0.000,0.183,0.138,0.000,0.952,1.090
1780256627936,0.007,0.007,0.010,0.003,0.003,0.000,0.007,0.003,0.040,0.138,0.000,0.537,0.675
1780256627973,0.003,0.003,0.007,0.007,0.000,0.000,0.003,0.003,0.026,0.138,0.000,0.488,0.626
1780256628018,0.003,0.003,0.007,0.007,0.000,0.000,0.003,0.003,0.026,0.138,0.000,0.472,0.610
1780256628066,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.138,0.000,0.455,0.593
1780256628102,0.000,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.021,0.138,0.000,0.463,0.601
1780256628150,0.003,0.000,0.003,0.003,0.003,0.000,0.003,0.000,0.015,0.138,0.000,0.463,0.601
1780256628208,0.000,0.000,0.003,0.003,0.000,0.000,0.007,0.003,0.016,0.138,0.000,0.472,0.610
1780256628291,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.138,0.000,0.455,0.593
1780256628363,0.003,0.000,0.000,0.007,0.003,0.003,0.003,0.003,0.022,0.138,0.000,0.455,0.593
1780256628393,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.138,0.000,0.455,0.593
1780256628434,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.009,0.138,0.000,0.463,0.601
1780256628472,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.138,0.000,0.472,0.610
1780256628516,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.138,0.000,0.463,0.601
1780256628550,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.006,0.138,0.000,0.455,0.593
1780256628591,0.003,0.000,0.000,0.003,0.003,0.000,0.000,0.000,0.009,0.138,0.000,0.463,0.601
1780256628622,0.000,0.003,0.000,0.007,0.000,0.003,0.003,0.000,0.016,0.138,0.000,0.472,0.610
1780256628667,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.138,0.000,0.463,0.601
1780256628702,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.146,0.000,0.455,0.601
1780256628744,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.007,0.016,0.138,0.000,0.472,0.610
1780256628825,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.003,0.012,0.138,0.000,0.455,0.593
1780256628893,0.000,0.003,0.003,0.003,0.003,0.003,0.003,0.000,0.018,0.138,0.000,0.455,0.593
1780256628924,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.006,0.138,0.000,0.447,0.585
1780256628978,0.721,0.710,0.659,0.714,0.000,0.000,0.007,0.000,2.811,0.138,0.000,1.204,1.342
1780256629017,2.380,2.004,2.248,2.511,0.000,0.000,0.003,0.003,9.149,0.113,0.000,3.923,4.036
1780256629067,4.421,4.213,4.578,4.425,0.000,0.000,0.003,0.000,17.640,0.105,0.000,9.580,9.685
1780256629119,4.031,4.960,5.307,5.609,0.000,0.000,0.003,0.003,19.913,0.073,0.000,12.405,12.478
1780256629174,3.699,4.723,5.048,5.638,0.000,0.000,0.000,0.003,19.111,0.073,0.000,12.722,12.795
1780256629219,2.923,3.790,3.896,4.825,0.000,0.000,0.003,0.000,15.437,0.138,0.000,8.677,8.815
1780256629271,2.762,2.525,3.163,3.444,0.000,0.000,0.003,0.003,11.900,0.146,0.000,6.446,6.592
1780256629361,2.558,2.132,2.773,3.163,0.000,0.003,0.003,0.003,10.635,0.146,0.000,5.502,5.648
1780256629434,0.280,0.298,0.309,0.411,0.003,0.007,0.003,0.000,1.311,0.138,0.000,1.204,1.342
