wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,floodgate_A
1780275313197,0.003,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.013,0.679
1780275313313,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.006,1.382
1780275313339,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,1.139
1780275313385,0.000,0.000,0.000,0.007,0.000,0.000,0.007,0.000,0.014,1.091
1780275313417,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.703
1780275313462,0.003,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.009,0.752
1780275313499,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,1.236
1780275313534,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.013,1.115
1780275313569,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.006,0.897
1780275313607,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.679
1780275313637,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.679
1780275313698,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.000,0.006,0.606
1780275313759,0.003,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.015,0.679
1780275313848,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.606
1780275313886,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.007,0.013,0.679
1780275313924,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.006,0.630
1780275313954,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275313995,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.630
1780275314026,0.000,0.000,0.007,0.003,0.003,0.000,0.003,0.000,0.016,0.703
1780275314056,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.679
1780275314083,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.606
1780275314115,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.679
1780275314146,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.606
1780275314217,0.003,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.013,0.606
1780275314267,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.606
1780275314373,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.630
1780275314401,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.606
1780275314437,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.606
1780275314468,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275314512,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.630
